Designator,Footprint,Quantity,Value,LCSC Part #
BT201,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Cell,
C101,CMS_1206,1,CC1206KKX7R7BB106,
"C102, C103, C104, C202, C203, C205, C207, C209, C211",CMS_1206,9,100nF,
"C201, C204, C206, C208, C210",CMS_1206,5,10UF,
D201,DO-214AB_HANDSOLDERING,1,SS34,
J101,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,B5B-PH-K-S(LF)(SN),
J102,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04,
J103,PinSocket_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
J201,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CONN_01X02,
L101,PetitLogo,1,LOGO,
P101,USB_C_Module,1,USB_C_Module,
"Q101, Q202",SOT-23_Handsoldering,2,BSS138,
"Q102, Q103",SOT-23_Handsoldering,2,MMBT2222ALT1G,
Q201,TO-252-2,1,DMP1045U,
"R101, R103, R104, R201, R204, R205",CMS_1206,6,10k,
"R102, R107",CMS_1206,2,12k,
"R105, R106",CMS_1206,2,4k7,
R108,CMS_1206,1,0R,
"R202, R203",CMS_1206,2,R,
U101,TFT_28,1,~,
U102,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U103,ESP32-WROOM-JLCPCB,1,ESP32_WROOM,
U201,MODULE_CHARGER_LIPO_WITH_PROTECTION,1,MODULE_CHARGER_LIPO_WITH_PROTECTION,
U202,SOT-23-5_HandSoldering,1,MCP6001R,
"U203, U205",SOT-23-5_HandSoldering,2,RT9080,
U204,SOT-23-5_HandSoldering,1,MCP3221,
