Designator,Mid X,Mid Y,Rotation,Layer
BT201,75.184,-19.05,90.0,top
C101,34.036,-43.053,270.0,top
C102,31.75,-43.053,270.0,top
C103,40.259,-34.036,0.0,top
C104,36.068,-29.591,90.0,top
C201,56.515,-22.352,0.0,top
C202,56.527,-24.628,180.0,top
C203,74.295,-34.544,0.0,top
C204,67.501,-36.713,0.0,top
C205,67.469,-34.417,0.0,top
C206,56.515,-32.131,0.0,top
C207,56.515,-34.544,180.0,top
C208,8.128,-9.652,270.0,top
C209,5.842,-9.652,90.0,top
C210,18.542,-11.049,270.0,top
C211,16.256,-11.049,90.0,top
D201,60.071,-15.111,270.0,top
J101,6.646,-38.036,90.0,top
J102,81.825,-11.001,270.0,top
J103,43.0,-3.25,270.0,top
J201,59.42,-45.757,180.0,top
L101,30.472186,-17.326753,0.0,top
P101,37.656,-35.244,0.0,top
Q101,8.575,-20.296,90.0,top
Q102,39.521,-18.349,0.0,top
Q103,39.394,-22.413,0.0,top
Q201,67.152,-11.987,90.0,top
Q202,12.319,-6.731,180.0,top
R101,7.874,-16.256,180.0,top
R102,44.704,-20.574,270.0,top
R103,36.322,-41.148,90.0,top
R104,13.843,-22.225,180.0,top
R105,74.041,-3.81,270.0,top
R106,76.327,-3.81,270.0,top
R107,47.244,-20.701,90.0,top
R108,12.7,-1.397,0.0,top
R201,66.675,-19.685,0.0,top
R202,76.581,-28.702,270.0,top
R203,78.867,-28.702,270.0,top
R204,18.669,-4.191,180.0,top
R205,12.7,-3.683,180.0,top
U101,42.905,-25.095,180.0,bottom
U102,42.545,-28.64,0.0,top
U103,29.5,-24.49,180.0,top
U201,72.089,-35.533,90.0,top
U202,72.771,-31.369,0.0,top
U203,57.343,-28.401,90.0,top
U204,65.739,-31.369,0.0,top
U205,12.595,-10.475,0.0,top
